cluster,centroid_lat,centroid_lon,time,DN,all,drug,financial,low_level_property,low_level_violent,non_criminal,public_order,severe_property,severe_violent,sexual_offenses,weapon
0,41.70106035,-87.6308237,9,D,891,10,40,109,1,66,9,247,342,25,42
0,41.74441203,-87.57475359,2,N,852,5,23,139,0,55,4,301,269,14,42
0,41.74526004,-87.5755173,1,D,1255,17,63,178,0,84,6,425,425,26,31
0,41.775765,-87.66572597,12,D,1086,23,67,114,0,68,7,341,411,18,37
0,41.78287474,-87.61221627,12,N,1132,11,36,187,2,64,8,376,363,26,59
0,41.78427768,-87.72209518,10,D,737,3,74,78,2,62,3,265,222,12,16
0,41.78503736,-87.71752498,3,D,828,14,105,114,2,54,1,276,225,17,20
0,41.78565394,-87.60978672,7,D,1540,18,75,232,1,116,7,560,445,34,52
0,41.78576497,-87.72742285,8,D,614,5,79,62,2,50,5,208,174,18,11
0,41.78607142,-87.72732474,8,N,653,5,22,95,1,26,7,250,191,14,42
0,41.78867745,-87.62190183,4,D,1544,25,95,204,1,101,8,506,522,23,59
0,41.80965216,-87.62172958,6,N,1037,3,38,175,0,49,6,367,332,22,45
0,41.81515188,-87.62360495,4,N,904,3,38,147,3,47,4,323,277,15,47
0,41.86711152,-87.70663108,5,N,1098,27,28,159,0,52,12,299,423,19,79
0,41.87867356,-87.71439967,6,D,1869,133,126,186,1,102,14,596,607,39,65
0,41.88179367,-87.64075956,10,N,1657,14,98,219,2,39,12,736,472,36,29
0,41.92904187,-87.75390935,2,D,1024,26,127,102,1,99,4,340,279,23,23
0,41.93374587,-87.75584697,3,N,880,26,54,124,3,100,6,308,214,19,26
0,41.95939948,-87.80392537,7,N,416,1,22,54,0,30,4,188,102,8,7
0,41.96271448,-87.8147533,11,N,282,1,22,38,0,21,2,124,60,8,6
0,41.96562104,-87.82627384,9,N,201,0,18,30,0,17,3,78,42,10,3
0,41.97116099,-87.83443268,11,D,229,3,48,23,1,22,1,79,45,1,6
0,41.97209174,-87.67534083,1,N,1000,22,71,159,2,53,8,404,240,26,15
0,41.97336714,-87.67722203,5,D,1522,16,188,171,4,83,5,623,398,25,9
1,41.68794081,-87.62967103,5,D,830,11,53,111,0,60,9,246,297,20,23
1,41.73914719,-87.56460014,7,D,982,6,57,132,1,109,1,281,352,12,31
1,41.73999475,-87.56575202,8,D,912,9,50,110,0,71,1,278,354,19,20
1,41.74348048,-87.57555675,3,N,899,7,30,148,0,60,4,264,314,24,48
1,41.74624759,-87.57939474,5,N,1025,7,29,172,0,61,8,328,323,26,71
1,41.76181815,-87.6477493,6,D,1189,29,67,138,0,90,9,363,414,18,61
1,41.77714849,-87.67025183,9,N,1117,21,23,172,2,59,6,339,401,30,64
1,41.78048096,-87.61230575,10,N,1328,18,34,222,0,90,4,421,452,29,58
1,41.78540605,-87.61086403,8,N,1412,9,38,238,0,67,11,463,478,30,78
1,41.78975012,-87.61099499,9,D,1465,20,86,207,0,101,10,507,476,31,27
1,41.80665583,-87.61547574,1,N,852,4,22,111,1,32,5,348,260,18,51
1,41.80914167,-87.61943113,2,D,1030,10,78,123,1,107,6,377,290,17,21
1,41.87009986,-87.70772816,6,N,1351,35,22,191,0,66,10,382,527,34,84
1,41.87905948,-87.70560191,7,N,1726,43,48,264,0,69,11,514,631,34,112
1,41.88546248,-87.63885028,11,D,2166,27,245,215,2,97,12,1109,402,39,18
1,41.8860326,-87.63926129,12,D,2107,34,224,217,0,88,19,1064,423,24,14
1,41.88890045,-87.64076755,3,D,1974,26,214,205,4,85,21,958,421,19,21
1,41.89022507,-87.64691611,2,N,1238,18,99,194,1,46,9,521,291,22,37
1,41.91392212,-87.74871472,4,N,1040,22,33,161,1,58,11,327,353,22,52
1,41.9171168,-87.75373738,4,D,1215,30,95,135,0,98,6,427,371,22,31
1,41.92194415,-87.75091354,12,N,1159,22,32,146,0,94,6,401,382,28,48
1,41.93321198,-87.75092689,1,D,1127,12,122,120,2,115,5,401,315,25,10
1,41.97251719,-87.67563495,11,N,1057,6,56,181,0,53,3,478,249,19,12
1,41.97278806,-87.83871129,10,D,218,4,27,22,0,18,4,78,58,4,3
2,41.69996642,-87.63318865,10,N,726,14,28,131,0,43,5,212,226,16,51
2,41.70304899,-87.62996949,8,N,872,10,17,150,0,42,7,274,296,15,61
2,41.70419195,-87.63141112,9,N,797,9,28,129,0,42,2,247,272,14,54
2,41.7467391,-87.5788523,6,N,1146,6,25,185,1,49,4,373,392,26,85
2,41.77358221,-87.66660168,11,N,924,15,27,124,0,69,7,291,315,28,48
2,41.77554816,-87.66614336,8,D,1191,24,69,150,2,106,7,331,438,18,46
2,41.78417347,-87.7245216,7,D,700,3,77,106,0,49,3,221,204,18,19
2,41.78517171,-87.71555484,2,D,849,9,114,93,1,73,3,277,238,18,23
2,41.78616548,-87.71377704,4,N,722,9,29,118,2,51,6,234,210,17,46
2,41.78662967,-87.71537386,1,D,878,10,128,107,0,62,3,283,241,17,27
2,41.80921272,-87.61741679,3,D,999,5,87,116,0,70,3,362,306,14,36
2,41.87519897,-87.70500924,5,D,1561,75,83,198,0,95,12,471,542,31,54
2,41.87825629,-87.72170402,1,N,1384,72,40,178,1,87,6,348,473,76,103
2,41.87860567,-87.63968484,3,N,1285,20,92,175,1,64,21,517,331,26,38
2,41.88279323,-87.70555341,12,N,1378,43,40,220,0,75,12,429,478,32,49
2,41.88409107,-87.63911246,9,D,2139,25,247,191,0,90,22,1066,446,34,18
2,41.88685819,-87.64058361,6,D,1960,21,208,192,1,88,13,1016,387,18,16
2,41.89360895,-87.64434249,5,N,1358,10,95,182,0,39,12,575,375,37,33
2,41.92153451,-87.75511307,12,D,1434,39,92,145,1,130,11,511,468,21,16
2,41.97006905,-87.67333049,7,N,1359,12,85,210,1,50,5,554,393,33,16
2,41.97180693,-87.67401603,10,D,1584,10,138,182,5,107,9,736,368,25,4
2,41.97520831,-87.67468637,11,D,1470,5,131,195,1,95,9,649,364,16,5
2,41.97604277,-87.67574003,2,N,889,17,61,137,1,45,4,359,233,20,12
2,41.98353003,-87.68069896,4,D,1019,13,137,115,3,65,4,383,270,21,8
3,41.6992909,-87.63011721,10,D,838,18,51,110,0,64,8,254,283,17,33
3,41.74501754,-87.57670095,4,N,1017,1,27,156,0,56,2,305,362,31,77
3,41.7704741,-87.66411209,12,N,908,16,24,146,0,63,2,272,324,13,48
