cluster,centroid_lat,centroid_lon,time,DN,all,drug,financial,low_level_property,low_level_violent,non_criminal,public_order,severe_property,severe_violent,sexual_offenses,weapon
0,41.69970248,-87.63219862,4,N,2047,33,67,393,0,108,10,626,642,43,125
0,41.7378092,-87.56464747,3,N,2317,14,52,396,0,143,9,748,760,46,149
0,41.77579425,-87.66439833,4,D,3510,85,202,428,3,254,27,1067,1254,66,124
0,41.78670533,-87.71329017,2,N,2348,26,97,367,4,141,14,766,729,51,153
0,41.80786894,-87.61471983,2,D,3223,35,235,395,1,203,14,1226,961,45,108
0,41.87785776,-87.72118243,1,N,3846,197,135,527,3,217,27,1039,1309,153,239
0,41.88831654,-87.6419918,1,D,5782,77,690,635,10,245,40,2808,1135,72,70
0,41.97410769,-87.67349848,3,D,4672,30,577,488,6,246,20,2034,1168,77,26
1,41.69366871,-87.63593341,1,D,2287,25,150,284,0,176,17,758,694,61,122
1,41.73911876,-87.56537566,3,D,2711,22,149,360,1,243,7,822,983,49,75
1,41.77484292,-87.66683,3,N,3498,62,82,544,2,168,20,999,1301,93,227
1,41.80865951,-87.62097869,1,N,2298,16,75,310,1,136,13,818,745,51,133
1,41.88962885,-87.64438368,2,N,4303,33,268,619,2,144,43,1850,1153,101,90
1,41.91676766,-87.752421,2,D,3891,99,320,412,3,303,18,1285,1268,87,96
1,41.91971603,-87.75026244,4,N,3623,65,100,484,1,264,15,1244,1218,64,168
1,41.97220379,-87.83815019,4,D,633,9,125,59,1,49,6,228,137,8,11
2,41.70194991,-87.63262764,4,D,2762,54,172,349,0,213,22,892,903,63,94
2,41.759704,-87.64653243,2,N,3070,53,82,508,1,152,23,920,1030,58,243
2,41.78410276,-87.72746305,3,N,1941,15,77,293,2,92,18,694,564,68,118
2,41.80947388,-87.62012639,1,D,3267,23,248,388,2,245,13,1256,939,59,94
2,41.88276025,-87.64040138,4,N,4560,47,254,632,5,147,34,1981,1265,107,88
2,41.88490744,-87.63858786,3,D,6695,80,706,693,8,256,50,3430,1295,107,70
2,41.88755325,-87.64003962,2,D,5798,64,681,547,4,250,47,2952,1130,74,49
2,41.88819094,-87.64542273,1,N,4215,55,315,610,4,174,37,1819,1003,89,109
3,41.7659316,-87.65029601,2,D,3830,78,213,476,4,283,28,1098,1400,73,177
3,41.7721772,-87.66416522,3,D,3746,85,212,498,5,312,23,1021,1365,72,153
3,41.78163753,-87.61243267,4,N,3599,49,103,574,2,227,16,1178,1178,90,182
