cluster,centroid_lat,centroid_lon,quarter,DN,CrimeGroup,count
0,41.88831654,-87.6419918,1,D,all,5782
1,41.69366871,-87.63593341,1,D,all,2287
2,41.80947388,-87.62012639,1,D,all,3267
3,41.93113596,-87.75249548,1,D,all,3361
4,41.78564752,-87.71492677,1,D,all,2643
5,41.74482471,-87.57538051,1,D,all,3689
6,41.97415577,-87.67542214,1,D,all,3902
7,41.97615585,-87.8488224,1,D,all,561
8,41.87772547,-87.71678345,1,D,all,5142
9,41.75916469,-87.64729672,1,D,all,3520
0,41.87785776,-87.72118243,1,N,all,3846
1,41.80865951,-87.62097869,1,N,all,2298
2,41.88819094,-87.64542273,1,N,all,4215
3,41.93511638,-87.75068229,1,N,all,2688
4,41.74529154,-87.57713033,1,N,all,2936
5,41.78622527,-87.71655597,1,N,all,2024
6,41.69408674,-87.63524321,1,N,all,1856
7,41.97335413,-87.67467534,1,N,all,2930
8,41.97358205,-87.8368497,1,N,all,469
9,41.76016299,-87.64906645,1,N,all,2668
0,41.80786894,-87.61471983,2,D,all,3223
1,41.91676766,-87.752421,2,D,all,3891
2,41.88755325,-87.64003962,2,D,all,5798
3,41.7659316,-87.65029601,2,D,all,3830
4,41.97206748,-87.67609239,2,D,all,4556
5,41.69560152,-87.63675088,2,D,all,2576
6,41.97279894,-87.82246217,2,D,all,820
7,41.7428194,-87.57483807,2,D,all,3679
8,41.87641297,-87.70813456,2,D,all,4889
9,41.7857104,-87.7172756,2,D,all,2464
0,41.78670533,-87.71329017,2,N,all,2348
1,41.88962885,-87.64438368,2,N,all,4303
2,41.759704,-87.64653243,2,N,all,3070
3,41.96087586,-87.79803283,2,N,all,1284
4,41.97191579,-87.67637343,2,N,all,3593
5,41.91052903,-87.74455662,2,N,all,3530
6,41.80985044,-87.62169286,2,N,all,2999
7,41.74337052,-87.5760246,2,N,all,3036
8,41.86945317,-87.70865747,2,N,all,3616
9,41.69427139,-87.63649063,2,N,all,1986
0,41.97410769,-87.67349848,3,D,all,4672
1,41.73911876,-87.56537566,3,D,all,2711
2,41.88490744,-87.63858786,3,D,all,6695
3,41.7721772,-87.66416522,3,D,all,3746
4,41.97390928,-87.85625964,3,D,all,441
5,41.69902501,-87.63179412,3,D,all,2690
6,41.78447228,-87.72538235,3,D,all,1991
7,41.92348046,-87.7581027,3,D,all,4114
8,41.88367038,-87.7075919,3,D,all,5638
